Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS▼,WS/48,,OBPM,DBPM,BPM,VORP
38,Richaun Holmes\holmeri01,C,27,SAC,61,1782,20.2,0.669,0.019,0.296,8.8,22.7,15.7,8.3,1.1,4.6,10.3,17.5,,4.7,1.4,6.1,0.165,,0.6,0.0,0.6,1.2
39,Ben Simmons\simmobe01,PG,24,PHI,58,1877,18.3,0.584,0.017,0.492,5.6,18.7,12.2,31.3,2.4,1.7,19.6,20.2,,2.7,3.3,6.0,0.153,,0.7,2.2,2.9,2.3
40,Bradley Beal\bealbr01,SG,27,WAS,60,2147,22.7,0.593,0.270,0.332,3.6,10.4,7.0,21.3,1.5,0.9,10.6,34.1,,4.2,1.7,5.9,0.132,,4.8,-1.4,3.4,2.9
41,Zach LaVine\lavinza01,SG,25,CHI,58,2034,21.5,0.634,0.425,0.265,2.0,13.6,7.9,23.4,1.1,1.2,13.9,31.0,,4.0,1.8,5.9,0.138,,4.9,-0.8,4.0,3.1
42,Jakob Poeltl\poeltja01,C,25,SAS,69,1845,17.5,0.612,0.000,0.288,12.4,19.3,15.8,10.1,1.2,5.7,14.6,13.4,,3.2,2.5,5.7,0.148,,-0.5,1.2,0.8,1.3
43,Kyle Anderson\anderky01,PF,27,MEM,69,1887,17.2,0.578,0.397,0.280,2.9,19.5,11.1,18.3,2.1,2.7,10.4,18.5,,2.9,2.7,5.6,0.143,,1.4,1.9,3.3,2.5
44,LeBron James\jamesle01,PG,36,LAL,45,1504,24.2,0.602,0.346,0.310,2.2,23.6,12.9,41.8,1.6,1.5,15.2,31.9,,3.0,2.6,5.6,0.179,,5.9,2.3,8.1,3.8
45,Royce O'Neale\onealro01,SF,27,UTA,71,2241,9.9,0.599,0.706,0.117,4.4,18.0,11.5,10.4,1.2,1.2,16.7,9.6,,2.3,3.3,5.6,0.121,,-1.2,2.1,1.0,1.7
46,Karl-Anthony Towns\townska01,C,25,MIN,50,1689,23.1,0.612,0.360,0.355,8.2,26.4,17.0,22.6,1.1,2.9,13.7,29.1,,3.8,1.6,5.4,0.153,,4.3,0.2,4.5,2.8
47,Paul George\georgpa01,SF,30,LAC,54,1821,20.5,0.598,0.437,0.239,2.9,18.9,11.1,24.6,1.7,1.2,14.5,30.0,,3.0,2.3,5.3,0.139,,3.9,0.3,4.2,2.9
48,Brandon Ingram\ingrabr01,SF,23,NOP,61,2093,19.2,0.584,0.341,0.291,1.8,13.7,7.8,22.4,1.0,1.6,11.0,28.0,,3.9,1.3,5.3,0.120,,3.3,-1.1,2.2,2.2
49,Brook Lopez\lopezbr01,C,32,MIL,70,1902,15.4,0.611,0.439,0.222,6.0,13.0,9.6,3.5,1.0,4.8,8.3,16.9,,3.1,2.2,5.3,0.133,,0.0,0.0,0.0,0.9
